score,time,nok,nko,groupName,userId,moduleName,nsession,date,sumscore,sumtime,sumnok,sumnko,sumnsession,day,month,year,week
20.0,24,71,3,AM 2,2660100,Les Fondamentaux Campus,1,22/09/2017,20.0,24,71,3,1,22,09,2017,38
5.0,22,49,12,AM 2,2660100,Les Fondamentaux Campus,1,01/10/2017,25.0,46,120,15,2,01,10,2017,39
7.0,16,35,4,AM 2,2660100,Les Fondamentaux Campus,1,04/11/2017,32.0,62,155,19,3,04,11,2017,44
8.0,12,24,0,AM 2,2660100,Les Fondamentaux Campus,1,06/11/2017,40.0,74,179,19,4,06,11,2017,45
3.64,4,21,9,AM 2,2660101,Les Fondamentaux Campus,1,12/09/2017,3.64,4,21,9,1,12,09,2017,37
17.680000000000003,21,146,68,AM 2,2660101,Les Fondamentaux Campus,1,02/10/2017,21.320000000000004,25,167,77,2,02,10,2017,40
13.94,6,75,21,AM 2,2660103,Supérieur,1,13/09/2017,13.94,6,75,21,1,13,09,2017,37
28.0,14,153,22,AM 2,2660103,Supérieur,1,19/09/2017,41.94,20,228,43,2,19,09,2017,38
40.62000000000001,31,213,38,AM 2,2660103,Supérieur,1,20/09/2017,82.56,51,441,81,3,20,09,2017,38
12.800000000000002,17,105,60,AM 2,2660103,Supérieur,1,23/09/2017,95.36,68,546,141,4,23,09,2017,38
26.46,24,128,16,AM 2,2660104,Supérieur,1,13/09/2017,26.46,24,128,16,1,13,09,2017,37
42.16000000000001,24,185,26,AM 2,2660104,Supérieur,1,14/09/2017,68.62,48,313,42,2,14,09,2017,37
13.88,15,124,27,AM 2,2660106,Supérieur,1,13/09/2017,13.88,15,124,27,1,13,09,2017,37
13.76,20,128,36,AM 2,2660106,Supérieur,1,15/09/2017,27.64,35,252,63,2,15,09,2017,37
11.759999999999998,44,246,151,AM 2,2660106,Supérieur,1,20/09/2017,39.4,79,498,214,3,20,09,2017,38
2.0,1,6,0,AM 2,2660106,Supérieur,1,22/09/2017,41.4,80,504,214,4,22,09,2017,38
26.74,49,292,127,AM 2,2660106,Supérieur,1,05/11/2017,68.14,129,796,341,5,05,11,2017,44
1.76,725,20,9,AM 2,2660106,Supérieur,1,30/01/2018,69.9,854,816,350,6,30,01,2018,5
10.86,60,197,97,AM 2,2660106,Supérieur,1,21/02/2018,80.76,914,1013,447,7,21,02,2018,8
7.46,30,87,56,AM 2,2660106,Supérieur,1,22/03/2018,88.22,944,1100,503,8,22,03,2018,12
18.38,47,156,56,AM 2,2660106,Supérieur,1,26/03/2018,106.6,991,1256,559,9,26,03,2018,13
3.88,48,85,50,AM 2,2660107,Les Fondamentaux Campus,1,13/09/2017,3.88,48,85,50,1,13,09,2017,37
15.519999999999998,41,204,70,AM 2,2660107,Les Fondamentaux Campus,1,14/09/2017,19.4,89,289,120,2,14,09,2017,37
6.76,60,160,157,AM 2,2660107,Les Fondamentaux Campus,1,15/09/2017,26.16,149,449,277,3,15,09,2017,37
