Date;BU Rockefeller;BU Sciences Doua;BU Lyon-Sud;BU Croix-Rousse;BU Odontologie;Sciences Po Lyon;BU Chevreul;BU Bron;Bib Marie Curie;BU Manufacture - Lyon 3;Learning Hub Lyon - Ecully;maker's lab Lyon - Ecully;Bib Michel Serres;atelier makers' lab Lyon - Ecully;total
02/12/2018;2431;3814;622;0;0;0;2006;0;0;0;0;0;0;0;8873
03/12/2018;4580;5527;1040;810;273;882;4044;3184;1620;5899;1043;308;315;0;29525
04/12/2018;4615;5754;1058;687;341;1066;4038;3463;1797;6256;1346;541;371;0;31333
05/12/2018;4458;5321;1096;1070;230;862;4003;3142;1762;6036;1357;277;265;80;29959
06/12/2018;2540;5377;1004;740;230;764;3606;2750;1651;5306;924;295;150;495;25832
07/12/2018;4150;4252;940;609;244;592;0;0;1284;4806;768;240;213;63;18161
08/12/2018;3489;3783;780;47;0;0;0;0;0;1471;134;0;28;0;9732
09/12/2018;2970;4529;707;0;0;0;0;0;0;0;0;0;0;0;8206
10/12/2018;3870;5900;948;797;304;912;3829;3020;1819;5297;981;196;313;54;28240
11/12/2018;3866;6377;986;743;154;1086;3987;3319;1914;4920;793;221;311;36;28713
12/12/2018;3708;5471;705;971;274;926;3726;3088;1905;4466;626;171;357;0;26394
13/12/2018;3743;5428;501;699;132;987;1561;48;1567;5030;467;147;260;0;20570
14/12/2018;3423;3891;416;576;87;618;2271;0;1329;4238;556;171;208;0;17784
15/12/2018;2906;3492;246;45;0;0;0;0;779;1308;63;0;32;0;8871
16/12/2018;2111;4094;174;0;0;0;0;0;0;0;0;0;0;0;6379
17/12/2018;4333;5037;506;723;118;839;2964;1722;1565;4772;451;83;412;316;23841
18/12/2018;4280;5170;238;698;113;913;3138;1828;1949;4353;811;241;492;426;24650
19/12/2018;4105;4559;222;817;69;711;2917;1317;1562;2909;678;286;439;0;20591
20/12/2018;3311;4136;134;446;54;592;2676;1627;1268;2179;560;308;178;0;17469
21/12/2018;1161;2267;100;371;46;184;1253;1014;818;1132;363;175;330;0;9214
22/12/2018;0;0;0;0;0;0;0;0;162;0;0;0;0;0;162
23/12/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24/12/2018;0;0;0;0;0;0;0;0;521;0;0;0;0;0;521
25/12/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26/12/2018;0;0;0;0;0;0;0;0;1095;0;0;0;0;0;1095
27/12/2018;891;0;0;0;0;0;0;0;1065;0;0;0;0;0;1956
